@id,area,highway,name,centroid_lon,centroid_lat,source,bridge,layer,oneway,lanes,surface,ref,foot,service,junction,name:en,trail_visibility,incline,access,bicycle,horse,motor_vehicle,maxspeed,tunnel,lit,railway,description,segregated,construction,maxspeed:advisory,minspeed,overtaking,sidewalk,check_date
way/147044854,,tertiary,,88.45882955054388,22.948300972516414,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
way/147044856,,tertiary,,88.45420778159648,22.94796831538758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147044886,,secondary,,88.45916789871264,22.948399915210707,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
way/147045559,,tertiary,,88.45252284211979,22.947159088514006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147045560,,tertiary,,88.46665929537994,22.946214883006466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147046099,,residential,,88.46756059104833,22.946674955754236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147046101,,residential,,88.46653338271555,22.946258992857967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147046211,,residential,,88.46692992264488,22.947141937714036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147046398,,residential,,88.4675696218858,22.947567346719435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147108360,,residential,,88.44780078454598,22.937172100011303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147108361,,residential,,88.45097126374363,22.936544277664474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147108362,,residential,,88.45049541269424,22.935320768473776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147108363,,residential,,88.44969659018574,22.93428235558734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147108364,,residential,,88.44803705000001,22.934870699999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147108365,,residential,,88.44840443547406,22.933436145029173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147108367,,residential,,88.4513948637812,22.933451752104308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147108381,,tertiary,,88.45268217790351,22.93322265140883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/147108457,,residential,,88.45549294411599,22.933696542576467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
