id,lat,lon,tag_key,tag_value
303684085,46.8655133,-71.2663663,highway,stop
303684090,46.8752962,-71.2679579,highway,stop
303684091,46.8753771,-71.2680371,highway,stop
303684144,46.8723562,-71.2585448,highway,stop
303684177,46.8703924,-71.2617485,highway,stop
303684178,46.8710182,-71.2656688,highway,stop
303684298,46.8720433,-71.2624170,highway,stop
303684326,46.8734259,-71.2650396,highway,turning_loop
303684348,46.8711352,-71.2676076,highway,stop
303684354,46.8723527,-71.2700345,highway,turning_circle
303684355,46.8713608,-71.2686258,highway,stop
303684424,46.8728123,-71.2736314,highway,stop
303684425,46.8727269,-71.2735468,highway,stop
303684447,46.8742143,-71.2750106,highway,stop
303684604,46.8798948,-71.2674352,highway,stop
303684671,46.8704153,-71.2874660,highway,stop
303684729,46.8697571,-71.2803404,highway,traffic_signals
303684737,46.8649541,-71.2707926,highway,traffic_signals
309302313,46.8818410,-71.2803601,highway,stop
309302317,46.8903794,-71.2886661,highway,stop
309302322,46.8918697,-71.2896470,highway,stop
309302381,46.8821413,-71.2767684,highway,stop
309302384,46.8828403,-71.2740923,highway,stop
309302419,46.8842634,-71.2750292,highway,stop
309302423,46.8802995,-71.2723408,highway,stop
309302424,46.8759488,-71.2823970,highway,traffic_signals
309302426,46.8782693,-71.2769705,highway,stop
309302463,46.8778970,-71.2801163,highway,stop
309302571,46.8744164,-71.2868327,highway,stop
309302584,46.8800582,-71.2920806,highway,stop
309302635,46.8784686,-71.2847422,highway,traffic_signals
309302647,46.8766187,-71.2888927,highway,stop
309302649,46.8773943,-71.2871434,highway,stop
309302689,46.8774867,-71.2938366,highway,turning_circle
309302739,46.8750694,-71.2876941,highway,stop
309302776,46.8825259,-71.2869476,highway,turning_circle
309302780,46.8809534,-71.2870839,highway,traffic_signals
309302783,46.8832693,-71.2817475,highway,stop
309302789,46.8857458,-71.2764894,highway,stop
309302807,46.8852311,-71.2759746,highway,stop
309302834,46.8864408,-71.2805247,highway,stop
309302845,46.8914169,-71.2863753,highway,stop
309302883,46.8901530,-71.2863040,highway,stop
309302884,46.8891150,-71.2841995,highway,turning_circle
309302955,46.8865336,-71.2902883,highway,stop
309302958,46.8856961,-71.2915907,highway,traffic_signals
309302967,46.8820553,-71.2845406,highway,stop
309302970,46.8831858,-71.2774162,highway,stop
309303046,46.8923399,-71.2814520,highway,turning_circle
309303049,46.8914013,-71.2793386,highway,turning_circle
309303127,46.8968657,-71.2885735,highway,turning_circle
309303220,46.8874743,-71.2781494,highway,stop
309303256,46.8843023,-71.2884706,highway,stop
309303444,46.8788577,-71.2909652,highway,stop
319439463,46.8619043,-71.2671798,highway,traffic_signals
319439538,46.8621363,-71.2677532,highway,bus_stop
319439605,46.8514432,-71.2530062,highway,bus_stop
319442080,46.8629257,-71.2675086,highway,bus_stop
319442418,46.8649394,-71.2640171,highway,turning_circle
319442421,46.8653678,-71.2632961,highway,turning_circle
319442605,46.8653404,-71.2639168,highway,bus_stop
319443151,46.8691579,-71.2583682,highway,bus_stop
319443152,46.8703996,-71.2567879,highway,bus_stop
319642382,46.8797083,-71.2464674,highway,traffic_signals
1071719777,46.8612919,-71.2618587,highway,bus_stop
1076959038,46.8597376,-71.2602678,highway,bus_stop
2474078014,46.8657254,-71.2717148,highway,traffic_signals
2706381116,46.8933426,-71.2853854,highway,turning_circle
2786805141,46.9021041,-71.3063026,highway,stop
3089867808,46.8645161,-71.2652480,highway,bus_stop
3263863400,46.8653855,-71.2729248,highway,traffic_signals
3348977390,46.8715280,-71.2850263,highway,stop
3348977393,46.8726717,-71.2825263,highway,stop
3348977395,46.8736878,-71.2802929,highway,traffic_signals
3834817495,46.8660334,-71.2719802,highway,bus_stop
