Node ID,Latitude,Longitude,Edge
1327292282,23.5034412,87.2852826,"(1327292282, 1327292297)"
1327292297,23.5042946,87.277925,"(1327292297, 1327292299)"
1327292299,23.5043193,87.2874579,"(1327292299, 1327292302)"
1327292302,23.5042849,87.2862254,"(1327292302, 1327292305)"
1327292305,23.5045862,87.2870649,"(1327292305, 1327292307)"
1327292307,23.5045185,87.2866009,"(1327292307, 1327292390)"
1327292390,23.5081613,87.2735681,"(1327292390, 1327292407)"
1327292407,23.508486,87.2733437,"(1327292407, 1327292409)"
1327292409,23.5087343,87.2732824,"(1327292409, 1327292416)"
1327292416,23.5101623,87.2903992,"(1327292416, 1327292572)"
1327292572,23.5115325,87.2734495,"(1327292572, 1327292592)"
1327292592,23.5122962,87.2868656,"(1327292592, 1327292594)"
1327292594,23.5123281,87.273386,"(1327292594, 1327292600)"
1327292600,23.5129975,87.2730686,"(1327292600, 1327292602)"
1327292602,23.5127948,87.2919451,"(1327292602, 1327292628)"
1327292628,23.5144334,87.2718307,"(1327292628, 1327292639)"
1327292639,23.5149164,87.2887442,"(1327292639, 1327292642)"
1327292642,23.516681,87.270104,"(1327292642, 1327292676)"
1327292676,23.5162185,87.2891877,"(1327292676, 1327292686)"
1327292686,23.5208448,87.2673467,"(1327292686, 1327292690)"
1327292690,23.5201866,87.2715866,"(1327292690, 1327292693)"
1327292693,23.5210784,87.2670919,"(1327292693, 1327292697)"
1327292697,23.5201169,87.2709129,"(1327292697, 1327292701)"
1327292701,23.5216631,87.2692172,"(1327292701, 1327292704)"
1327292704,23.5219388,87.268977,"(1327292704, 1327292724)"
1327292724,23.5223843,87.2651285,"(1327292724, 1327292733)"
1327292733,23.5233705,87.2634977,"(1327292733, 1327292735)"
1327292735,23.5232693,87.2870343,"(1327292735, 1327292742)"
1327292742,23.5242607,87.2821117,"(1327292742, 1327292744)"
1327292744,23.5246659,87.2619274,"(1327292744, 1327292747)"
1327292747,23.5247851,87.2617974,"(1327292747, 1327292765)"
1327292765,23.525285,87.2611789,"(1327292765, 1327292769)"
1327292769,23.5251321,87.2663625,"(1327292769, 1327292772)"
1327292772,23.525324,87.2611563,"(1327292772, 1327292775)"
1327292775,23.5254755,87.2611528,"(1327292775, 1327292793)"
1327292793,23.5260625,87.2654336,"(1327292793, 1327292796)"
1327292796,23.52571,87.2615156,"(1327292796, 1327292800)"
1327292800,23.5260277,87.2618898,"(1327292800, 1327292831)"
1327292831,23.5266018,87.2648677,"(1327292831, 1327292837)"
1327292837,23.5267053,87.2620859,"(1327292837, 1327292847)"
1327292847,23.5266682,87.262752,"(1327292847, 1327292850)"
1327292850,23.5268551,87.2613559,"(1327292850, 1327292852)"
1327292852,23.5270521,87.2638115,"(1327292852, 1327292854)"
1327292854,23.5271032,87.2608218,"(1327292854, 1327292858)"
1327292858,23.5274996,87.264466,"(1327292858, 1327292861)"
1327292861,23.5274932,87.2602565,"(1327292861, 1327292863)"
1327292863,23.5276532,87.2637417,"(1327292863, 1327292894)"
1327292894,23.5278882,87.2648174,"(1327292894, 1327292897)"
1327292897,23.5282354,87.2780384,"(1327292897, 1327292902)"
1327292902,23.5289555,87.2652975,"(1327292902, 1327292927)"
1327292927,23.5310018,87.254463,"(1327292927, 1327292930)"
1327292930,23.5310872,87.2518459,"(1327292930, 1327292956)"
1327292956,23.531175,87.2749567,"(1327292956, 1327292966)"
1327292966,23.5319458,87.2656737,"(1327292966, 1327292974)"
1327292974,23.5326438,87.2574417,"(1327292974, 1327292978)"
1327292978,23.5326927,87.2659911,"(1327292978, 1327292981)"
1327292981,23.5331971,87.2664566,"(1327292981, 1327292985)"
1327292985,23.5324559,87.2702864,"(1327292985, 1327293004)"
1327293004,23.5340993,87.2828668,"(1327293004, 1327293009)"
1327293009,23.5341769,87.2836392,"(1327293009, 1327293011)"
1327293011,23.534206,87.2819251,"(1327293011, 1327293014)"
1327293014,23.5343073,87.2556273,"(1327293014, 1327293016)"
1327293016,23.5344097,87.2845173,"(1327293016, 1327293017)"
1327293017,23.5348171,87.2851416,"(1327293017, 1327293021)"
1327293021,23.5351954,87.2699905,"(1327293021, 1327293026)"
1327293026,23.5355446,87.2708475,"(1327293026, 1327293044)"
1327293044,23.5356028,87.2857552,"(1327293044, 1327293144)"
1327293144,23.5357095,87.2717997,"(1327293144, 1327293146)"
1327293146,23.5357289,87.2723605,"(1327293146, 1327293151)"
1327293151,23.5364102,87.2499131,"(1327293151, 1327293156)"
