Node ID,Latitude,Longitude,Edge
1324746808,23.6802557,86.9822859,"(1324746808, 1324746811)"
1324746811,23.6802246,86.980189,"(1324746811, 1324746813)"
1324746813,23.6802335,86.9847649,"(1324746813, 1324746817)"
1324746817,23.6803078,86.9812704,"(1324746817, 1324746825)"
1324746825,23.6803881,86.9817857,"(1324746825, 1324746827)"
1324746827,23.6807082,86.8602956,"(1324746827, 1324746831)"
1324746831,23.6802549,86.9374644,"(1324746831, 1324746834)"
1324746834,23.6806112,86.9874962,"(1324746834, 1324746836)"
1324746836,23.6806649,87.0023645,"(1324746836, 1324746839)"
1324746839,23.6806791,86.9883417,"(1324746839, 1324746842)"
1324746842,23.6807842,86.9366284,"(1324746842, 1324746844)"
1324746844,23.6808532,86.9689285,"(1324746844, 1324746850)"
1324746850,23.6809649,86.8235604,"(1324746850, 1324746852)"
1324746852,23.6807317,86.9357991,"(1324746852, 1324746855)"
1324746855,23.6811554,86.9374289,"(1324746855, 1324746857)"
1324746857,23.6810747,86.9897908,"(1324746857, 1324746862)"
1324746862,23.6811547,87.0018794,"(1324746862, 1324746868)"
1324746868,23.6813574,86.9376281,"(1324746868, 1324746883)"
1324746883,23.6819923,86.9296576,"(1324746883, 1324746894)"
1324746894,23.6823864,86.9460828,"(1324746894, 1324746896)"
1324746896,23.6824246,86.8473069,"(1324746896, 1324746908)"
1324746908,23.6828787,86.9837601,"(1324746908, 1324746912)"
1324746912,23.6832855,86.8294868,"(1324746912, 1324746914)"
1324746914,23.6832775,86.9843236,"(1324746914, 1324746918)"
1324746918,23.6833229,86.8323069,"(1324746918, 1324746920)"
1324746920,23.6833978,86.835168,"(1324746920, 1324746921)"
1324746921,23.6832463,86.8450463,"(1324746921, 1324746934)"
1324746934,23.683585,86.8272388,"(1324746934, 1324746939)"
1324746939,23.683847,86.8387647,"(1324746939, 1324746941)"
